trace	state	block	B	Delta_prep	P	R	theta	|B|
317	29	6	1	1.5	-1.0	-1.0	1	2B
318	30	6	1	-0.3	-1.0	-1.0	-1	2B
319	31	6	1	-1.5	-1.0	-1.0	-1	2B
320	32	6	1	0.3	-1.0	-1.0	-1	2B
321	33	6	1	-0.9	-1.0	-1.0	-1	2B
322	34	6	1	0.9	-1.0	-1.0	-1	2B
323	35	6	1	1.5	-1.0	-1.0	-1	2B
324	36	6	1	-1.5	-1.0	-1.0	1	2B
325	37	6	1	-0.9	-1.0	-1.0	1	2B
326	38	6	1	-0.3	-1.0	-1.0	1	2B
327	39	6	1	0.3	-1.0	-1.0	1	2B
328	40	6	1	1.5	-1.0	-1.0	1	2B
329	41	6	1	0.9	-1.0	-1.0	1	2B
330	42	6	1	0.9	-1.0	-1.0	-1	2B
331	43	6	1	-1.5	-1.0	-1.0	-1	2B
332	44	6	1	-0.3	-1.0	-1.0	-1	2B
333	45	6	1	0.3	-1.0	-1.0	-1	2B
334	46	6	1	1.5	-1.0	-1.0	-1	2B
335	47	6	1	-0.9	-1.0	-1.0	-1	2B
336	0	7	1	-0.3	-1.0	1.0	1	2B
337	1	7	1	0.9	-1.0	1.0	1	2B
338	2	7	1	1.5	-1.0	1.0	1	2B
339	3	7	1	-0.9	-1.0	1.0	1	2B
340	4	7	1	0.3	-1.0	1.0	1	2B
341	5	7	1	-1.5	-1.0	1.0	1	2B
342	6	7	1	-0.9	-1.0	1.0	-1	2B
343	7	7	1	1.5	-1.0	1.0	-1	2B
344	8	7	1	0.9	-1.0	1.0	-1	2B
345	9	7	1	0.3	-1.0	1.0	-1	2B
346	10	7	1	-1.5	-1.0	1.0	-1	2B
347	11	7	1	-0.3	-1.0	1.0	-1	2B
348	12	7	1	-1.5	-1.0	1.0	1	2B
349	13	7	1	1.5	-1.0	1.0	1	2B
350	14	7	1	-0.9	-1.0	1.0	1	2B
351	15	7	1	0.9	-1.0	1.0	1	2B
352	16	7	1	-0.3	-1.0	1.0	1	2B
353	17	7	1	0.3	-1.0	1.0	1	2B
354	18	7	1	1.5	-1.0	1.0	-1	2B
355	19	7	1	-0.3	-1.0	1.0	-1	2B
356	20	7	1	-1.5	-1.0	1.0	-1	2B
357	21	7	1	0.3	-1.0	1.0	-1	2B
358	22	7	1	0.9	-1.0	1.0	-1	2B
359	23	7	1	-0.9	-1.0	1.0	-1	2B
360	24	7	-1	0.3	-1.0	1.0	1	2B
361	25	7	-1	-0.9	-1.0	1.0	1	2B
362	26	7	-1	-0.3	-1.0	1.0	1	2B
363	27	7	-1	0.9	-1.0	1.0	1	2B
364	28	7	-1	-1.5	-1.0	1.0	1	2B
365	29	7	-1	1.5	-1.0	1.0	1	2B
366	30	7	-1	-0.3	-1.0	1.0	-1	2B
367	31	7	-1	0.9	-1.0	1.0	-1	2B
368	32	7	-1	-0.9	-1.0	1.0	-1	2B
369	33	7	-1	0.3	-1.0	1.0	-1	2B
370	34	7	-1	-1.5	-1.0	1.0	-1	2B
371	35	7	-1	1.5	-1.0	1.0	-1	2B
372	36	7	-1	0.3	-1.0	1.0	-1	2B
373	37	7	-1	1.5	-1.0	1.0	-1	2B
374	38	7	-1	0.9	-1.0	1.0	-1	2B
375	39	7	-1	-0.9	-1.0	1.0	-1	2B
376	40	7	-1	-0.3	-1.0	1.0	-1	2B
377	41	7	-1	-1.5	-1.0	1.0	-1	2B
378	42	7	-1	-0.9	-1.0	1.0	1	2B
379	43	7	-1	-0.3	-1.0	1.0	1	2B
380	44	7	-1	-1.5	-1.0	1.0	1	2B
381	45	7	-1	0.3	-1.0	1.0	1	2B
382	46	7	-1	0.9	-1.0	1.0	1	2B
383	47	7	-1	1.5	-1.0	1.0	1	2B
384	0	8	-1	-1.5	-1.0	-1.0	1	0B
385	1	8	-1	-0.9	-1.0	-1.0	1	0B
386	2	8	-1	0.9	-1.0	-1.0	1	0B
387	3	8	-1	1.5	-1.0	-1.0	1	0B
388	4	8	-1	-0.3	-1.0	-1.0	1	0B
389	5	8	-1	0.3	-1.0	-1.0	1	0B
390	6	8	-1	0.9	-1.0	-1.0	-1	0B
391	7	8	-1	1.5	-1.0	-1.0	-1	0B
392	8	8	-1	-1.5	-1.0	-1.0	-1	0B
393	9	8	-1	0.3	-1.0	-1.0	-1	0B
394	10	8	-1	-0.9	-1.0	-1.0	-1	0B
395	11	8	-1	-0.3	-1.0	-1.0	-1	0B
396	12	8	-1	1.5	-1.0	-1.0	1	0B
397	13	8	-1	0.3	-1.0	-1.0	1	0B
398	14	8	-1	-0.3	-1.0	-1.0	1	0B
399	15	8	-1	-1.5	-1.0	-1.0	1	0B
400	16	8	-1	-0.9	-1.0	-1.0	1	0B
401	17	8	-1	0.9	-1.0	-1.0	1	0B
402	18	8	-1	0.9	-1.0	-1.0	-1	0B
403	19	8	-1	0.3	-1.0	-1.0	-1	0B
404	20	8	-1	-0.9	-1.0	-1.0	-1	0B
405	21	8	-1	-0.3	-1.0	-1.0	-1	0B
406	22	8	-1	1.5	-1.0	-1.0	-1	0B
407	23	8	-1	-1.5	-1.0	-1.0	-1	0B
408	24	8	1	1.5	-1.0	-1.0	-1	0B
409	25	8	1	-0.9	-1.0	-1.0	-1	0B
410	26	8	1	-0.3	-1.0	-1.0	-1	0B
411	27	8	1	0.3	-1.0	-1.0	-1	0B
412	28	8	1	0.9	-1.0	-1.0	-1	0B
413	29	8	1	-1.5	-1.0	-1.0	-1	0B
414	30	8	1	1.5	-1.0	-1.0	1	0B
415	31	8	1	0.9	-1.0	-1.0	1	0B
416	32	8	1	0.3	-1.0	-1.0	1	0B
417	33	8	1	-0.9	-1.0	-1.0	1	0B
418	34	8	1	-1.5	-1.0	-1.0	1	0B
419	35	8	1	-0.3	-1.0	-1.0	1	0B
420	36	8	1	-0.9	-1.0	-1.0	1	0B
421	37	8	1	-0.3	-1.0	-1.0	1	0B
422	38	8	1	0.9	-1.0	-1.0	1	0B
423	39	8	1	1.5	-1.0	-1.0	1	0B
424	40	8	1	0.3	-1.0	-1.0	1	0B
425	41	8	1	-1.5	-1.0	-1.0	1	0B
426	42	8	1	0.3	-1.0	-1.0	-1	0B
427	43	8	1	-1.5	-1.0	-1.0	-1	0B
428	44	8	1	0.9	-1.0	-1.0	-1	0B
429	45	8	1	-0.3	-1.0	-1.0	-1	0B
430	46	8	1	-0.9	-1.0	-1.0	-1	0B
431	47	8	1	1.5	-1.0	-1.0	-1	0B
432	0	9	1	-1.5	-1.0	1.0	1	0B
433	1	9	1	-0.9	-1.0	1.0	1	0B
434	2	9	1	0.3	-1.0	1.0	1	0B
435	3	9	1	1.5	-1.0	1.0	1	0B
436	4	9	1	0.9	-1.0	1.0	1	0B
437	5	9	1	-0.3	-1.0	1.0	1	0B
438	6	9	1	-1.5	-1.0	1.0	-1	0B
439	7	9	1	-0.3	-1.0	1.0	-1	0B
440	8	9	1	0.3	-1.0	1.0	-1	0B
441	9	9	1	-0.9	-1.0	1.0	-1	0B
442	10	9	1	1.5	-1.0	1.0	-1	0B
443	11	9	1	0.9	-1.0	1.0	-1	0B
444	12	9	1	-0.9	-1.0	1.0	-1	0B
445	13	9	1	0.3	-1.0	1.0	-1	0B
446	14	9	1	0.9	-1.0	1.0	-1	0B
447	15	9	1	1.5	-1.0	1.0	-1	0B
448	16	9	1	-0.3	-1.0	1.0	-1	0B
449	17	9	1	-1.5	-1.0	1.0	-1	0B
450	18	9	1	1.5	-1.0	1.0	1	0B
451	19	9	1	0.9	-1.0	1.0	1	0B
452	20	9	1	-0.9	-1.0	1.0	1	0B
453	21	9	1	0.3	-1.0	1.0	1	0B
454	22	9	1	-1.5	-1.0	1.0	1	0B
455	23	9	1	-0.3	-1.0	1.0	1	0B
